,textID,text,selected_text,sentiment
9276,c5dbfa2ee8, I miss standing next to you...,miss,negative
9286,b876a6a14e,"Has horrible toothache, and had only a wink of sleep  ****",horrible,negative
9293,185b0010d9,is so gutted she can't get tickets for pink!,is so gutted she can't get tickets for pink!,negative
9296,be704e725a,just wake up.and i got flu  http://plurk.com/p/x2zp6,flu,negative
9304,6173fd7c2e, what a riot..now you can tell you're friends you've got chlamydia..but you're hoping to get pox-syphilis soon,hoping to get pox-syphilis soon,negative
9308,c999fc1166,Ashley= getting sick... Ugh I'm losing my voice! Nooo,getting sick... Ugh I'm losing my voice!,negative
9310,95c909631f,i feel less than nothin'.. lower than zero..,lower than zero..,negative
9312,1de0c75b43,"is hungry, but can't leave for lunch",can't leave for lunch,negative
9315,828ec4d5a0,  lol.. zzzzy in office and I'm alone in my bay again.,nd I'm alone,negative
9320,031c478bcf,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*,*Wabble Wabble*,negative
9324,5f7f3ecc8a,They burnt my zuccini,They burnt my zuccini,negative
9325,21358df4be,Wish I lived in or atleast relatively close to Ohio!   Haven't seen _Troy or _McLoven in almost a year.,Haven't seen _Troy or _McLoven,negative
9330,8d3f53c756, I am in the 'real world' which apparently involves a lot less twitter....  sorry!,sorry,negative
9335,731f36dff2,just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling,it all  not a nice feeling,negative
9336,ae4f391493,work is depressing the hell out of me  i want someone to fukin come on holiday with me in august,depressing,negative
9338,6e4d42897d,I really miss my phone  i cant wait till my new one comes,I really miss my phone,negative
9344,84a6ac52b2,dissapointed in every way....confused... and damaged by the ugly love bug,dissapointed,negative
9346,635851ba95," Wow, your spam really has everything covered! Mine's almost all **** enlargement stuff.","Wow, your spam really has everything covered! Mine's almost all **** enlargement stuff.",negative
9348,f03e80aa5a,Sitting at the Connection listening to the employees reminisce and mope about their last shift,mope,negative
9349,e3dc2d8485,_apple miss you too kid i sent msg to you on yt,miss,negative
9350,b973c046be,really wants to go see the script in NY in august... but no one will go with me,but no one will go with me,negative
9353,528f5b2f92,i need some serious cheering up,i need some serious cheering up,negative
9356,bfa66fc4f1,"Omg, little kids with cancer is the saddest thing ever",saddest thing ever,negative
9362,42e2fb1c31,"wow, i broke my toe today on a stupid piece of concrete!  LAME! job searching then sight seeing with Brittany.",stupid,negative
9364,15450ce322,"Its 4.30am, sleep timeee. I wanted to watch Gossip Girl but i'm way too tired  Goodnight!",tired,negative
9367,f03d6d4367,whats wrong with my flickr  http://www.flickr.com/photos/frenchtoastcake/ my quilt top photo only shows when you click on it! SAD STORY!!!,whats wrong with my flickr,negative
9373,4739eb265a,  dude i will check again but i couldnt find anything  haha i am capital ****-E-D,al ****-E-,negative
9376,b36798e17f,Feels very ucky today... I need more DEFENSE Vitamin Water because I don't want to be sick no mores,I don't want to be sick no mores,negative
9380,54a62c239a,I hate the dentist,hate,negative
9382,230af700a7,I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!,I want to cry,negative
9391,77dbfbfb73,Tonight's SNL does not dissapoint. LOL,Tonight's SNL does not dissapoint.,negative
9393,41282b63ea,Tummy hurts  oh noes,Tummy hurts,negative
9395,239e193980,English exam! Bleh i hate vocab,hate,negative
9401,7f97ffc651,Bruno arghhhh i cant wait,arghhhh,negative
9407,17fc6384ed,Miss Cauzinhoooo already,Miss Cauzinhoooo already,negative
9412,bb28798313,Burning time at wacha,Burning,negative
9418,ada600a62d,Tired. Going to take a nap. My finger hurts.  143,My finger hurts.,negative
9424,1888c0c734,... Still feelin like blah... 3 more hours,feelin like blah..,negative
9425,b445738288,In bed can't sleep .... Something is missing.....,missing..,negative
9430,868c16ad83,"I need to get in a good, hard workout today after work, I feel like I've been slacking! No good",No good,negative
9433,ee89766594,When are  gonna release another album already?!? I miss them,miss,negative
9434,1bfbfda136,"sigh.. stayed up late cause was on a role w/ assessment, now I'm so tired my eyes r stinging &amp; my head hurts.. &amp; I still need 500 words",tired,negative
9435,0003e2a304,Aaahhh I'm just so busy. Sorry everyone.,Sorry,negative
9436,c48776d616, eeeeeeeeeeeeee i jealous sia i didnt get to seee,jealous,negative
9441,0879b2ef8e,Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,#fail,negative
9442,106e3d1042,**** being broke on the day Guitar Hero Metallica comes out!  Boooooooo,Boooooooo,negative
9443,62b488fc2e,walking past the school i went to junior high in as it's being torn down,torn down,negative
9444,595b764513,Goddamnit! If we live in an age of constant communication why can't anyone return a text,Goddamnit!,negative
9453,98e022a28f,I also concede to my first Twitter grammar fail.,fail.,negative
9474,2b05e8634e, I think they are disgusting,I think they are disgusting,negative
9476,fea9c59435,i miss justin timberlake's voice. i want him to make new album again,i miss,negative
9482,66521b4652,i have no idea what im doing and i am completely lost.,i am completely lost.,negative
9485,464d7b8008,"left school just now. my new dress broke, the strap ripped off","broke,",negative
9486,e2067d2638,_cass my throat hurts today.  blahhh.,hurts,negative
9488,6320858c66,unhappy about the news that the planned (experimental) ITER fusion reactor will become much delayed... 2025,unhappy,negative
9491,d9ca6707c1,  walah me 2 still i am not getting the full idea,m not getting the full idea,negative
9499,3e08ed0b7b,"I can't have any pets in the appartment I really want, so no rat yet.",I can't have any pets in the appartment I,negative
9501,5096898b73,About to be stick at work till freakin 2 am.  Madd suck and I worked most the day!,suck,negative
9507,3464ef7647,  I know... he's mad at us... :'(,. he's mad at us.,negative
9510,30634daa75,My brain hurts,hurts,negative
9511,99cd70b2ce, oh how i wish there were chick a filas by me  i'm definently jealous.,i'm definently jealous.,negative
9518,cd382d5712,jerk josh! didn't even come meet me  - im thinking of a number guess ?,didn't even come meet me,negative
9519,83492df3af, no decleration yet but crazy **** Koreans aren't playing nice anymore  what do u thinks next? I'm thinking war,crazy **** Koreans aren't playing nice anymore,negative
9521,b95bcbc183," Well, at least you wont be late!","Well, at least you wont be late!",negative
9523,18195deb58," That may be, I still don't like hearing his name so much.   #blackhawks #canucks",don't like,negative
9531,a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative
9532,a5318c0473, i didnt get the joke,i didnt get the joke,negative
9536,385bb6094d," what is I/O psy? I'm taking psy101 starting this Monday, not looking forward to going back to school but",not looking forward to going back to school,negative
9538,ef1ecc01c2,had my first day at work and im not excited about the lay out of the place and where everything is.. o well its a job,not excited,negative
9545,e0cb42dd9c,Nothing like getting to work and finding out you have to cover extra shifts this week... looks like another 40 hr work week.,finding out you have to cover extra shifts this week..,negative
9549,1d07bd0bc2,Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,miss,negative
9550,02aacdcb65,Missing Everyone,Missing,negative
9557,3993c6275a,Blah. Work at job one all day and job two all night.,Blah.,negative
9560,a7595518c2,"4 novos followers http://migre.me/SfN Sorry, the account you were headed to has been suspended due to strange activity. strange ï¿½ ï¿½timo","Sorry,",negative
9565,a19a34d117,Im sure the 5 ppl who came in after me will be seen by a dentist before I will,Im sure the 5 ppl who came in after me will be seen by a dentist before I will,negative
9570,9fa91c181c,Looks like my Twitter is down,down,negative
9582,fc04b84a90, so i'm screwed,so i'm screwed,negative
9584,7fb66b3ad5, I wish y'all...unfortunately I won't be able to make it...gotta work my 2nd gig today,.unfortunately,negative
9591,50f25e5191,"I need a nap, but I won't be getting one",I won't be getting one,negative
9599,51a575d11b, my mom wants to lay. We'll be there later. Probably a little after 10. And  I'm sorry you're sick,I'm sorry you're sick,negative
9607,738cc3e94f,What the ****!? It's only 20:35!!? Oh my GOD! My internal clock really IS **** up. Nooooo.,What the ****!? It's only 20:35!!? Oh my GOD! My internal clock really IS **** up. Nooooo.,negative
9609,8590bc9678,stunning business cards! ashamed of mine  http://bit.ly/zpsQo,ashamed,negative
9611,bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative
9617,5c4100c5ac,"Ugh, I hate 90 degree weather",hate 90,negative
9626,5759558ce2,**** back home in tallcree (rez)  now i cant see my boyfriend,****,negative
9629,06e1506ee8, that sucks.   did you save any of it?,sucks.,negative
9640,32ebc7900c,Starting to get annoyed with socialscope. Need an update,annoyed,negative
9653,6dbc4aeaf0,and this terrible cartoon that's supposed to be mexican.,terrible,negative
9661,1789d4f95b,now i dont feel so good,now i dont feel so good,negative
9668,69640a2027,trying to watch lost online very annoying and slow...the internet not lost,very annoying and slow...,negative
9669,4d2d321760,i feel like ****,****,negative
9682,9f80c14324,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,negative
9683,f3fe64fcd1,"So much work, so little time","So much work, so little time",negative
9684,22163713c5,going through security already miss my baby.,miss,negative
9688,353b498f4d,listening to those litle hyperbirdies terrorizing the world since 4.30! lets cook em,terrorizing,negative
9692,1be36af355,Back at the vet and it isn't good,isn't good,negative
9700,a04a9fc4b0,"How can it be so freaking difficult to get a system-wide spellchecker? ****, I'd settle for an office suite one. Stupid unhelpful Windows",freaking difficult,negative
9703,a3effba130," is making cupcakes and says i can't have any  kelli, you're a bad sister.",", you're a bad sister.",negative
9708,1b9a62f130, mmmm lauren conrad eeeeep im going to miss the hills,miss,negative
9710,1722cd3459,  I'm SO jealous! I don't know when I'll be able to see Conan.,I'm SO jealous,negative
9716,faf4fe2d8f,On the set of Chuck Bass' New York Palace Hotel. Too bad they weren't filming today.   http://twitpic.com/67nht,bad,negative
9717,23b847869b,jus skinned my knee. Wat am i 6!?!?! Hurts lyke hell tho. Its always tha little ones that hurt tha most.,Hurts,negative
9719,d0253fe4ae,wow its follow friday and i havent tweeted... Fail. And nobody has followed me today  dble fail. *suicide*,e fail. *suicide*,negative
9720,4e913afd6f,nursing my scratches and bumps from Festivus mud wrestling. I swear there's still dirt in my hair but a good time was had by all,nursing my scratches and bumps from Festivus mud wrestling. I swear there's still dirt in my hair but a good time was had by all,negative
9723,a6ca21f8bc,Sooo much work so little time,Sooo much work so little time,negative
9725,4dcd538cc3,looks like it got cloudy again outside! and i have nothing to do tonight! boo friday,boo,negative
9726,e80f95a77f,"urgh, over slept for work, still done no revision and im SO snappy today. having a total fat day too",snappy,negative
9727,f228818dc9,just fought with my printer...after 2 hours i claim victory... i hate electronics,i hate electronics,negative
9729,fc7e0cb9eb,"Some of the figures quoted are so wildly optimistic, they are the stuff of science fiction.  A bit disapointed in CIBER and SABIP",A bit disapointed in CIBER and SABIP,negative
9731,7e863dcf5b,Bored out of my mind!  LOL,Bored out of my mind!  LOL,negative
9732,e1df6bc97b,Somebody accidentely sleep for 3 hours instead of 2 and now I can't hang out  WORK BLOWS! sorry _jones20 and ,sorry,negative
9735,43cc69ef03,"aww twiter i miss you.. today i'll post a little more.. i mea, after the movie theater..ahah soo coold here",miss,negative
9736,428fd23d7f, and this is better 4 me than a snickers bar or hersheys w/almonds.... which i use to b addicted to b4. i miss them  LOL,miss,negative
9737,cf34c2b139,I feel like I have to throw up.,I feel like I have to throw up.,negative
9738,a9327c08ba,"Wow, mosquitoes in the backyard suck.  So does coughing myself half to death in the middle of the night and keeping Cassidy awake too.",suck.,negative
